sn99063957	Daily capital journal	Daily	Hofer Bros	Salem	OR	Salem, OR	44.9429	-123.0351	RDF	http://sws.geonames.org/5750162/		https://chroniclingamerica.loc.gov/lccn/sn99063957/
sn87057934	Audubon County journal	Weekly	G.W. Guernsey	Exira	IA	Exira, IA	41.59082	-94.87554	RDF	http://sws.geonames.org/4855891/		https://chroniclingamerica.loc.gov/lccn/sn87057934/
sn86063760	The Manning times	Weekly	S.A. Nettles	Manning	SC	Manning, SC	33.695	-80.211	QUERIED, found	http://www.geonames.org/search.html?q=Manning%2C+SC&country=US	/maps/google_33.695_-80.211.html	https://chroniclingamerica.loc.gov/lccn/sn86063760/
sn99021999	Omaha daily bee	Daily	Edward Rosewater	Omaha	NE	Omaha, NE	41.25626	-95.94043	RDF	http://sws.geonames.org/5074472/		https://chroniclingamerica.loc.gov/lccn/sn99021999/
sn85058259	Iron County record	Weekly	W.C. Higgins	Cedar City	UT	Cedar City, UT	37.67748	-113.06189	RDF	http://sws.geonames.org/5536630/		https://chroniclingamerica.loc.gov/lccn/sn85058259/
sn96088356	The Athena press	Weekly	J.W. Smith	Athena	OR	Athena, OR	45.8118	-118.49053	RDF	http://sws.geonames.org/5711861/		https://chroniclingamerica.loc.gov/lccn/sn96088356/
sn2001063133	Turner County herald	Weekly	W.C. Brown	Hurley	SD	Hurley, SD	43.28304	-97.08922	RDF	http://sws.geonames.org/5228667/		https://chroniclingamerica.loc.gov/lccn/sn2001063133/
sn85058273	The Mercur miner	Weekly	N.H. Dresser	Mercur	UT	Mercur, UT	40.321	-112.212	QUERIED, found	http://www.geonames.org/search.html?q=Mercur%2C+UT&country=US	/maps/google_40.321_-112.212.html	https://chroniclingamerica.loc.gov/lccn/sn85058273/
sn93061466	The Estancia news	Weekly	P.A. Speckmann	Estancia	NM	Estancia, NM	34.75839	-106.05585	RDF	http://sws.geonames.org/5467102/		https://chroniclingamerica.loc.gov/lccn/sn93061466/
sn82016187	The National tribune	Weekly	G.E. Lemon & Co	Washington	DC	Washington, DC	38.895	-77.036	QUERIED, found	http://www.geonames.org/search.html?q=Washington%2C+DC&country=US	/maps/google_38.895_-77.036.html	https://chroniclingamerica.loc.gov/lccn/sn82016187/
sn90000523	The Londonderry sifter	Weekly	Sifter John	South Londonderry	VT	South Londonderry, VT	43.193	-72.814	QUERIED, found	http://www.geonames.org/search.html?q=South+Londonderry%2C+VT&country=US	/maps/google_43.193_-72.814.html	https://chroniclingamerica.loc.gov/lccn/sn90000523/
sn87090070	El farol	Weekly	La Compañía Publicista de El Farol			Capitan, Condado de Lincoln, Nuevo México	33.54536	-105.5722	RDF	http://sws.geonames.org/5460322/		https://chroniclingamerica.loc.gov/lccn/sn87090070/
45043535	The Indian advocate	Monthly	[Benedictine Fathers of Sacred Heart Mission]		OK	, OK	35.468	-97.516	QUERIED, found	http://www.geonames.org/search.html?q=%2C+OK&country=US	/maps/google_35.468_-97.516.html	https://chroniclingamerica.loc.gov/lccn/45043535/
sn84024720	Staunton spectator and vindicator	Weekly	R.S. Turk	Staunton	VA	Staunton, VA	38.14991	-79.0732	RDF	http://sws.geonames.org/4787440/		https://chroniclingamerica.loc.gov/lccn/sn84024720/
sn84038335	Missouri Valley times	Weekly	D.M. Harris & Sons	Missouri Valley	IA	Missouri Valley, IA	41.55555	-95.89195	RDF	http://sws.geonames.org/4867596/		https://chroniclingamerica.loc.gov/lccn/sn84038335/
sn89064515	Little Falls herald	Weekly	Haines, Stone & Co	Little Falls	MN	Little Falls, MN	45.97635	-94.3625	RDF	http://sws.geonames.org/5034970/		https://chroniclingamerica.loc.gov/lccn/sn89064515/
sn87078321	The star	Weekly	C.A. Stephenson	Reynoldsville	PA	Reynoldsville, PA	41.09701	-78.88864	RDF	http://sws.geonames.org/5208111/		https://chroniclingamerica.loc.gov/lccn/sn87078321/
sn88064402	The Rice belt journal	Weekly	J.R. Rountree	Welsh	LA	Welsh, LA	30.236	-92.823	QUERIED, found	http://www.geonames.org/search.html?q=Welsh%2C+LA&country=US	/maps/google_30.236_-92.823.html	https://chroniclingamerica.loc.gov/lccn/sn88064402/
sn90061056	The Montgomery tribune	Weekly	Tribune Print. Co	Montgomery City	MO	Montgomery City, MO	38.978	-91.505	QUERIED, found	http://www.geonames.org/search.html?q=Montgomery+City%2C+MO&country=US	/maps/google_38.978_-91.505.html	https://chroniclingamerica.loc.gov/lccn/sn90061056/
sn95060582	St. Johns herald and Apache news	Weekly	R. Ling	St. Johns	AZ	St. Johns, AZ	34.518	-109.379	QUERIED, found	http://www.geonames.org/search.html?q=St.+Johns%2C+AZ&country=US	/maps/google_34.518_-109.379.html	https://chroniclingamerica.loc.gov/lccn/sn95060582/
sn91068367	The semi-weekly messenger	Semiweekly	Jackson & Bell Co	Wilmington	NC	Wilmington, NC	34.22573	-77.94471	RDF	http://sws.geonames.org/4499379/		https://chroniclingamerica.loc.gov/lccn/sn91068367/
sn85042405	Jamestown weekly alert	Weekly	Marshall McClure	Jamestown	ND	Jamestown, ND	46.91054	-98.70844	RDF	http://sws.geonames.org/5059836/		https://chroniclingamerica.loc.gov/lccn/sn85042405/
sn84020630	Santa Fe new Mexican	Daily	New Mexican Print. Co	Santa Fe	NM	Santa Fe, NM	35.68698	-105.9378	RDF	http://sws.geonames.org/5490263/		https://chroniclingamerica.loc.gov/lccn/sn84020630/
sn86069313	The Hartford republican	Weekly	Barnett & Milligan	Hartford	KY	Hartford, KY	37.45116	-86.90916	RDF	http://sws.geonames.org/4294195/		https://chroniclingamerica.loc.gov/lccn/sn86069313/
sn86072041	The Wenatchee daily world	Daily	World Pub. Co	Wenatchee	WA	Wenatchee, WA	47.42346	-120.31035	RDF	http://sws.geonames.org/5815342/		https://chroniclingamerica.loc.gov/lccn/sn86072041/
sn84038095	The Denison review	Weekly	James D. Ainsworth	Denison	IA	Denison, IA	42.01777	-95.35528	RDF	http://sws.geonames.org/4853757/		https://chroniclingamerica.loc.gov/lccn/sn84038095/
sn94057006	Sierra County advocate	Weekly	J.E. Curren	Kingston	NM	Kingston, NM	33.1284	-107.25281	RDF	http://sws.geonames.org/5495292/		https://chroniclingamerica.loc.gov/lccn/sn94057006/
sn86081889	The Fulton County news	Weekly	[s.n.]	McConnellsburg	PA	McConnellsburg, PA	39.93259	-77.99889	RDF	http://sws.geonames.org/4559516/		https://chroniclingamerica.loc.gov/lccn/sn86081889/
sn88076013	The Dickinson press	Weekly	Scott & Mabee			Dickinson, Stark County, D.T., i.e. N.D.	46.87918	-102.78962	RDF	http://sws.geonames.org/5688789/		https://chroniclingamerica.loc.gov/lccn/sn88076013/
